Deliverable 1
Alpha: 0.0
Lambda,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Fold Number,MSE
100000.0,1.1853309034298194,4.122063427186826,4.125929708318765,0.0,0.0,0.0,0.0,0.0,0.0,4,223722.70554743815
CV: ,1021391.6438726842,Lambda: ,100000.0,Alpha: ,0.2
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,233850.9478515625
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,195389.66953125
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,210467.90499999997
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,186325.69704101572
1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,230786.97954101564
CV: ,1056821.1989648438,Lambda: ,1000000.0,Alpha: ,0.2
"
"
Alpha: 0.4
Lambda,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Fold Number,MSE
0.01,-271.4848843557291,434.5779912907692,169.18866827875834,23.21001458484023,-6.675494492589269,-6.726061278673224,-5.600194304622954,128.17530253565192,-2.381796371083629,0,10996.647344261459
0.01,-286.62241317624785,521.6322754694578,116.2102363339077,26.581063604693206,-9.882241373639154,-3.1936384356731584,-0.5278446522618966,129.12748326769224,-2.7284914953814474,1,11235.503729830798
0.01,-264.351079788018,420.3892809293315,184.0066199169633,26.41375352249488,-13.688036233102723,-3.2753532706521002,-8.522399011759171,130.54075017844778,-5.497762777439413,2,10206.280987278202
0.01,-269.294241415983,440.4346260934588,171.42886781121553,24.37144294077053,-15.045602668506127,-2.9633436846185326,-6.490140916477835,133.7940044738685,-0.42152938227363607,3,8827.46798359539
0.01,-279.5578099584574,417.62862544820206,200.3538708690143,21.280619767611142,-8.886022225253788,-1.4308626138914011,-4.856899259187725,116.93128838116907,-6.444653174330489,4,8694.11428977608
CV: ,49960.01433474193,Lambda: ,0.01,Alpha: ,0.4
0.1,-271.30742975466524,427.7181936658801,175.8892013175268,22.927504795782617,-6.686514907921615,-6.677386272432724,-5.569993253793714,128.09981506758086,-2.413946731179058,0,10996.666395140912
0.1,-286.50536890098016,511.04836446246435,126.67673381518728,26.161953317118083,-9.902827485224652,-3.126899863614452,-0.5586149826359968,129.0329170415768,-2.7783839333551517,1,11206.43552412021
